abstract_id,text,label
pub.1000012432,Brazil,GPE
pub.1000012432,Cascavel,LOC
pub.1000012495,J.E.,GPE
pub.1000012495,Warren,GPE
pub.1000012524,hematuria,GPE
pub.1000012524,the United States,GPE
pub.1000012578,Europe,LOC
pub.1000012623,Keynesian,GPE
pub.1000012623,Brazil,GPE
pub.1000012858,Shanghai,GPE
pub.1000012858,Jiangsu,GPE
pub.1000012863,China,GPE
pub.1000012863,China,GPE
pub.1000012936,Leishmania,GPE
pub.1000013002,Germany,GPE
pub.1000013002,Europe,LOC
pub.1000013002,Germany,GPE
pub.1000013002,Germany,GPE
pub.1000013002,Europe,LOC
pub.1000013002,Germany,GPE
pub.1000013002,Germany,GPE
pub.1000013002,Europe,LOC
pub.1000013002,Germany,GPE
pub.1000013070,Vietnam,GPE
pub.1000013070,US,GPE
pub.1000013070,Vietnam,GPE
pub.1000013070,Vietnam,GPE
pub.1000013070,US,GPE
pub.1000013070,Vietnam,GPE
pub.1000013123,the United States,GPE
pub.1000013151,Salmonella,GPE
pub.1000013151,Kyushu,GPE
pub.1000013177,New York,GPE
pub.1000013634,Texas,GPE
pub.1000013761,U.S.,GPE
pub.1000013761,Coastal Plain,LOC
pub.1000013761,Georgia,GPE
pub.1000013761,Georgia,GPE
pub.1000013761,USA,GPE
pub.1000013767,Aristotele,GPE
pub.1000013808,Abstract Sea,LOC
pub.1000013808,Indian Ocean,LOC
pub.1000013808,Indian Ocean,LOC
pub.1000013808,Pacific,LOC
pub.1000013921,Natal,GPE
pub.1000013921,Brazil,GPE
pub.1000013968,Nigeria,GPE
pub.1000014149,Une,GPE
pub.1000014270,Atlanta,GPE
pub.1000014270,Atlanta,GPE
pub.1000014272,DM,GPE
pub.1000014428,FeOOH)-Au,GPE
pub.1000014428,FeOOH)-Au,GPE
pub.1000014433,Korea,GPE
pub.1000014433,China,GPE
pub.1000014433,Japan,GPE
pub.1000014433,Taiwan,GPE
pub.1000014611,Mexico,GPE
pub.1000014646,Gangwon,GPE
pub.1000014646,Gangwon,GPE
pub.1000014646,Yangyang,GPE
pub.1000014646,Pyeongchang,GPE
pub.1000014646,Taebaek city,GPE
pub.1000014669,Aloha,GPE
pub.1000014669,Aloha,GPE
pub.1000014690,Tokyo,GPE
pub.1000014718,Xinlicheng,GPE
pub.1000014718,pH,GPE
pub.1000014718,Xinlicheng,GPE
pub.1000014750,Saskatchewan,GPE
pub.1000014965,Schwann,GPE
pub.1000014965,Japan,GPE
pub.1000014978,Europe,LOC
pub.1000014978,Europe,LOC
pub.1000014978,England,GPE
pub.1000014978,England,GPE
pub.1000014978,Europe,LOC
pub.1000015025,U.S.,GPE
pub.1000015079,microalgae,GPE
pub.1000015079,microalgae,GPE
pub.1000015119,Europe,LOC
pub.1000015119,the United Kingdom,GPE
pub.1000015222,USA,GPE
pub.1000015436,Appalachian,GPE
pub.1000015436,New York,GPE
pub.1000015455,viz.,GPE
pub.1000015653,North Ethiopia,LOC
pub.1000015654,Africa,LOC
pub.1000015733,neoplasia,GPE
pub.1000015733,neoplasia,GPE
pub.1000015733,neoplasia,GPE
pub.1000015736,US,GPE
pub.1000015737,Medline,GPE
pub.1000015776,US,GPE
pub.1000015776,US,GPE
pub.1000015776,US,GPE
pub.1000015776,US,GPE
pub.1000015831,N.A.S.A.,GPE
pub.1000015908,DC,GPE
pub.1000015908,DC,GPE
pub.1000015908,DC,GPE
pub.1000016151,the Southern Hemisphere,LOC
pub.1000016171,the Eastern Indian Ocean,LOC
pub.1000016171,the Western Indian Ocean,LOC
pub.1000016171,the Indian Ocean,LOC
pub.1000016449,Jordan,GPE
pub.1000016449,Jordan,GPE
pub.1000016449,Jordan,GPE
pub.1000016606,loads,GPE
pub.1000016606,loads,GPE
pub.1000016635,Subvolume,GPE
pub.1000016690,Arctic,LOC
pub.1000016690,Arctic,LOC
pub.1000016690,Arctic,LOC
pub.1000016690,France,GPE
pub.1000016690,Arctic,LOC
pub.1000016690,Arctic Ocean's,LOC
pub.1000016690,Arctic,LOC
pub.1000016690,Japan,GPE
pub.1000016706,CD8,GPE
pub.1000016706,CD28,GPE
pub.1000016795,Cairo,GPE
pub.1000016893,Portugal,GPE
pub.1000017064,Yopal,GPE
pub.1000017102,H2O,GPE
pub.1000017160,America,GPE
pub.1000017160,Algeria,GPE
pub.1000017160,the United States,GPE
pub.1000017160,colonies,GPE
pub.1000017225,Denmark,GPE
pub.1000017225,Finland,GPE
pub.1000017225,Norway,GPE
pub.1000017225,Denmark,GPE
pub.1000017225,Norway,GPE
pub.1000017344,microcephaly,GPE
pub.1000017344,microcephaly,GPE
pub.1000017344,microcephaly,GPE
pub.1000017638,Brazil,GPE
pub.1000017699,TP,GPE
pub.1000017699,TP,GPE
pub.1000017810,Vietnam,GPE
pub.1000017821,South Africa,GPE
pub.1000017826,the United States,GPE
pub.1000017826,the United States,GPE
pub.1000018026,DC,GPE
pub.1000018026,DC,GPE
pub.1000018055,Subvolume,GPE
pub.1000018216,India,GPE
pub.1000018216,India,GPE
pub.1000018225,Preeclampsia,GPE
pub.1000018225,PE,GPE
pub.1000018225,PE,GPE
pub.1000018225,PE,GPE
pub.1000018452,China,GPE
pub.1000018452,China,GPE
pub.1000018469,Europe,LOC
pub.1000018469,Switzerland,GPE
pub.1000018469,Germany,GPE
pub.1000018476,Hong Kong,GPE
pub.1000018476,China,GPE
pub.1000018493,the Island of Montreal,GPE
pub.1000018493,the Island of Montreal,GPE
pub.1000018560,South Carolina’s,GPE
pub.1000018567,Pept1(-/-,GPE
pub.1000018598,anaesthesia,GPE
pub.1000018598,anaesthesia,GPE
pub.1000018643,Mexico,GPE
pub.1000018643,Mexico,GPE
pub.1000018643,Mexico,GPE
pub.1000018643,Mexico,GPE
pub.1000018643,Mexico,GPE
pub.1000018643,Mexico,GPE
pub.1000018677,Great Britain,GPE
pub.1000018714,the United States,GPE
pub.1000018790,Canada,GPE
pub.1000018790,Canada,GPE
pub.1000019028,Oklahoma,GPE
pub.1000019028,Oklahoma,GPE
pub.1000019138,Africa,LOC
pub.1000019201,Chagas,GPE
pub.1000019201,Chagas,GPE
pub.1000019247,South Africa,GPE
pub.1000019510,Chile,GPE
pub.1000019510,Chile,GPE
pub.1000019510,Chile,GPE
pub.1000019510,Chile,GPE
pub.1000019510,Chile,GPE
pub.1000019510,Chile,GPE
pub.1000019528,Visual Analog,GPE
pub.1000019528,PTSD,GPE
pub.1000019621,Tanzania,GPE
pub.1000019621,Uganda,GPE
pub.1000019621,Zaire,GPE
pub.1000019631,Japan,GPE
pub.1000019631,Korea,GPE
pub.1000019631,the Northeastern Thailand,LOC
pub.1000019678,Hubei,GPE
pub.1000019712,GD14,GPE
pub.1000019750,Kenya,GPE
pub.1000019750,Kenya,GPE
pub.1000019782,Viet Nam,GPE
pub.1000019810,Europe,LOC
pub.1000019810,South America,LOC
pub.1000019827,UK,GPE
pub.1000019898,Leishmania,GPE
pub.1000019898,Sudan,GPE
pub.1000020076,TiO2,GPE
pub.1000020076,TiO2,GPE
pub.1000020268,the United States,GPE
pub.1000020268,the United States,GPE
pub.1000020310,Rotterdam,GPE
pub.1000020366,Germany,GPE
pub.1000020370,Fungal,GPE
pub.1000020444,Texas,GPE
pub.1000020444,Texas,GPE
pub.1000020557,L1,GPE
pub.1000020603,The Hague,GPE
pub.1000020603,South,LOC
pub.1000020603,The Hague,GPE
pub.1000020603,South,LOC
pub.1000020622,Sweden,GPE
pub.1000020741,Denmark,GPE
pub.1000020741,Finland,GPE
pub.1000020741,Sweden,GPE
pub.1000020741,Denmark,GPE
pub.1000020741,Sweden,GPE
pub.1000020741,Finland,GPE
pub.1000020741,Denmark,GPE
pub.1000020762,Rome,GPE
pub.1000020764,Africa,LOC
pub.1000020764,Africa,LOC
pub.1000020764,Africa,LOC
pub.1000020764,Africa,LOC
pub.1000020764,Africa,LOC
pub.1000020764,Africa,LOC
pub.1000020797,Citrus,GPE
pub.1000020940,East,LOC
pub.1000021045,Banach,GPE
pub.1000021045,Yu,GPE
pub.1000021063,the Kanto Region,LOC
pub.1000021083,PV,GPE
pub.1000021120,Mediterranean,LOC
pub.1000021120,Italy,GPE
pub.1000021235,Syphilis,GPE
pub.1000021411,California,GPE
pub.1000021744,Europe,LOC
pub.1000021749,Myanmar,GPE
pub.1000021749,Myanmar,GPE
pub.1000021750,US,GPE
pub.1000021750,US,GPE
pub.1000021750,US,GPE
pub.1000021750,Italy,GPE
pub.1000021750,US,GPE
pub.1000021753,Athens,GPE
pub.1000021753,Milan,GPE
pub.1000021850,Edit,LOC
pub.1000021942,Milwaukee,GPE
pub.1000021942,WI,GPE
pub.1000021942,USA,GPE
pub.1000022190,Hong-Kong,GPE
pub.1000022190,US,GPE
pub.1000022190,China,GPE
pub.1000022190,China,GPE
pub.1000022190,Mexico,GPE
pub.1000022319,Cambridge,GPE
pub.1000022319,England,GPE
pub.1000022319,Wales,GPE
pub.1000022499,US,GPE
pub.1000022499,Europe,LOC
pub.1000022580,Suzaku,GPE
pub.1000022580,Suzaku,GPE
pub.1000022587,Chiapas,GPE
pub.1000022587,Mexico,GPE
pub.1000022587,Chiapas,GPE
pub.1000022685,China,GPE
pub.1000022693,Biomphalaria,GPE
pub.1000022693,Biomphalaria,GPE
pub.1000022693,Totiviridae,GPE
pub.1000022693,Biomphalaria,GPE
pub.1000022693,Biomphalaria,GPE
pub.1000022711,Karnataka,GPE
pub.1000022711,India,GPE
pub.1000022711,Karnataka,GPE
pub.1000022711,India,GPE
pub.1000022711,Karnataka,GPE
pub.1000022712,Canada,GPE
pub.1000022712,Scotland,GPE
pub.1000022722,the United Kingdom,GPE
pub.1000022722,London,GPE
pub.1000022722,London,GPE
pub.1000022722,London,GPE
pub.1000022722,UK,GPE
pub.1000022722,the United Kingdom,GPE
pub.1000022722,London,GPE
pub.1000022722,London,GPE
pub.1000022722,London,GPE
pub.1000022722,UK,GPE
pub.1000022733,US,GPE
pub.1000022733,New Jersey,GPE
pub.1000022733,Maine,GPE
